_id;firstName;middleName;lastName;nameNick;pos;height;weight;college;birthDate;birthCity;birthState;birthCountry;birthCountry_;highSchool;hsCity;hsState;hsCountry;hsCountry_
abrahta01w;Tajama;Ethia;Abraham;TJ,Taj;Center;187.96;86.182;George Washington;1975-09-27;St,croix;;ISV;U.S. Virgin Islands;Kecoughtan;Hampton;VA;USA;United States of America
abrossv01w;Svetlana;Olegovna;Abrosimova;Svet,Sveta;Forward;187.96;76.657;Connecticut;1980-07-09;St. petersburg;;RUS;Russia;Petrogradskoi n86;St. petersburg;;RUS;Russia
adairje01w;Jessica;Elizabeth;Adair;;Center;193.04;89.358;George Washington;1986-12-19;Washington;DC;USA;United States of America;Anacostia senior;Washington;DC;USA;United States of America
adamsda01w;Danielle;E.;Adams;;Forward-Center;185.42;108.408;Texas A&M;1989-02-19;Kansas city;;USA;United States of America;Lee's summit;Lee's summit;MO;USA;United States of America
adamsjo01w;Jordan;;Adams;;Center;190.5;81.647;New Mexico;1981-05-24;Las vegas;;USA;United States of America;Moapa valley;Overton;NV;USA;United States of America
adamsmi01w;Michael;;Adams;;;;;;;;;;;;;;;
adubari99w;Richie;;Adubato;;;;;;;;;;;;;;;
aglerbr99w;Brian;;Alger;;;;;;;;;;;;;;;
aguilel01w;Elisabeth;;Aguilar Lopez;Elisa;Guard;170.18;74.843;George Washington;1976-10-15;Madrid;;ESP;Spain;;;;;
ajavoma01w;Matee;;Ajavon;;Guard;172.72;72.575;Rutgers;1986-05-07;Monrovia;;LBR;Liberia;Malcolm x. shabazz;Newark;NJ;USA;United States of America
alberma01w;Marcie;;Alberts;;Guard;162.56;;Ohio State;1975-04-12;Wooster;;USA;United States of America;Orrville;Orrville;OH;USA;United States of America
aldrima01w;Markita;;Aldridge;Kita;Guard;180.34;69.4;UNC Charlotte;1973-09-15;Detroit;MI;USA;United States of America;Martin luther king;Detroit;MI;USA;United States of America
alexaer01w;Erin;;Alexander;;Guard;170.18;63.503;California-Santa Barbara;1975-04-25;Santa ynez;CA;USA;United States of America;Santa ynez;Santa ynez;CA;USA;United States of America
